Year	TeamID	Team	AwardTitle	AwardType	AwardSubType	AwardDecision	AwardGroup	AwardIcon
2009	234	uOttawa	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2010	385	Aberdeen_Scotland	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2010	349	Alberta	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	420	ArtScienceBangalore						
2010	381	BCCS-Bristol	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	407	BIOTEC_Dresden	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	375	Baltimore_US						
2010	426	Berkeley	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	389	Bielefeld-Germany	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	391	British_Columbia	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2010	324	Brown	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2010	307	CBNU-Korea	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2010	339	Calgary	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	338	Caltech	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	325	Cambridge	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	396	Chiba	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	399	Cornell	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2010	374	DTU-Denmark	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	315	Davidson-MissouriW	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	364	Debrecen-Hungary	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	429	Duke	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2010	378	ECUST-Shanghai						
2010	320	EPF_Lausanne	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	365	ESBS-Strasbourg	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2010	422	ETHZ_Basel	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	322	Edinburgh	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	499	Example						
2010	404	Freiburg_Bioware	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	405	Freiburg_Software	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2010	384	Fudan-Shanghai						
2010	308	Gaston_Day_School						
2010	410	GeorgiaTech	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2010	431	Georgia_State						
2010	423	Gothenburg-Sweden						
2010	305	Groningen	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	366	HKU-Hong_Kong						
2010	330	HKUST	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	382	Harvard	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	337	Heidelberg	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	496	HokkaidoU_Japan	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2010	361	Hong_Kong-CUHK	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	333	IITBombay						
2010	408	IIT_Delhi_1						
2010	372	IIT_Madras	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	342	INSA-Lyon	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2010	316	Imperial_College_London	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	432	Indiana						
2010	498	IvyTech-South_Bend	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2010	363	Johns_Hopkins	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	351	KAIST-Korea						
2010	362	KIT-Kyoto	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	400	Korea_U_Seoul	Silver	medal	silver	winner		https://static.igem.org/websites/common/2023/icons/medal-silver-flat.svg
2010	358	Kyoto	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	368	LMU-Munich	Bronze	medal	bronze	winner		https://static.igem.org/websites/common/2023/icons/medal-bronze-flat.svg
2010	331	Lethbridge	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
2010	352	METU_Turkey	Gold	medal	gold	winner		https://static.igem.org/websites/common/2023/icons/medal-flat.svg
